k,cT_unlocked,cT_locked
1.0000000000000000e-04,1.0000000000000000e+00,1.0000000000000000e+00
1.0722672220103231e-04,1.0000000002616505e+00,1.0000000000000000e+00
1.1497569953977356e-04,1.0000000011236034e+00,1.0000000000000000e+00
1.2328467394420660e-04,1.0000000027163076e+00,1.0000000000000000e+00
1.3219411484660288e-04,1.0000000051926763e+00,1.0000000000000000e+00
1.4174741629268049e-04,1.0000000087316629e+00,1.0000000000000000e+00
1.5199110829529331e-04,1.0000000135423868e+00,1.0000000000000000e+00
1.6297508346206434e-04,1.0000000198688921e+00,1.0000000000000000e+00
1.7475284000076829e-04,1.0000000279956376e+00,1.0000000000000000e+00
1.8738174228603830e-04,1.0000000382538263e+00,1.0000000000000000e+00
2.0092330025650479e-04,1.0000000510287015e+00,1.0000000000000000e+00
2.1544346900318845e-04,1.0000000667679565e+00,1.0000000000000000e+00
2.3101297000831605e-04,1.0000000859914246e+00,1.0000000000000000e+00
2.4770763559917112e-04,1.0000001093022428e+00,1.0000000000000000e+00
2.6560877829466864e-04,1.0000001373997092e+00,1.0000000000000000e+00
2.8480358684358022e-04,1.0000001710940922e+00,1.0000000000000000e+00
3.0538555088334158e-04,1.0000002113236790e+00,1.0000000000000000e+00
3.2745491628777284e-04,1.0000002591744028e+00,1.0000000000000000e+00
3.5111917342151310e-04,1.0000003159024331e+00,1.0000000000000000e+00
3.7649358067924675e-04,1.0000003829601694e+00,1.0000000000000000e+00
4.0370172585965538e-04,1.0000004620261487e+00,1.0000000000000000e+00
4.3287612810830571e-04,1.0000005550394473e+00,1.0000000000000000e+00
4.6415888336127822e-04,1.0000006642392409e+00,1.0000000000000000e+00
4.9770235643321144e-04,1.0000007922102923e+00,1.0000000000000000e+00
5.3366992312063122e-04,1.0000009419352338e+00,1.0000000000000000e+00
5.7223676593502206e-04,1.0000011168546503e+00,1.0000000000000000e+00
6.1359072734131761e-04,1.0000013209361003e+00,1.0000000000000000e+00
6.5793322465756824e-04,1.0000015587533817e+00,1.0000000000000000e+00
7.0548023107186452e-04,1.0000018355775278e+00,1.0000000000000000e+00
7.5646332755462901e-04,1.0000021574812255e+00,1.0000000000000000e+00
8.1113083078968723e-04,1.0000025314585799e+00,1.0000000000000000e+00
8.6974900261778344e-04,1.0000029655624070e+00,1.0000000000000000e+00
9.3260334688321990e-04,1.0000034690615256e+00,1.0000000000000000e+00
1.0000000000000000e-03,1.0000040526208342e+00,1.0000000000000000e+00
1.0722672220103231e-03,1.0000047285073113e+00,1.0000000000000000e+00
1.1497569953977356e-03,1.0000055108254562e+00,1.0000000000000000e+00
1.2328467394420659e-03,1.0000064157860944e+00,1.0000000000000000e+00
1.3219411484660286e-03,1.0000074620129000e+00,1.0000000000000000e+00
1.4174741629268048e-03,1.0000086708914406e+00,1.0000000000000000e+00
1.5199110829529332e-03,1.0000100669659895e+00,1.0000000000000000e+00
1.6297508346206436e-03,1.0000116783897832e+00,1.0000000000000000e+00
1.7475284000076829e-03,1.0000135374347927e+00,1.0000000000000000e+00
1.8738174228603831e-03,1.0000156810673644e+00,1.0000000000000000e+00
2.0092330025650459e-03,1.0000181515962574e+00,1.0000000000000000e+00
2.1544346900318843e-03,1.0000209973995406e+00,1.0000000000000000e+00
2.3101297000831605e-03,1.0000242737364433e+00,1.0000000000000000e+00
2.4770763559917113e-03,1.0000280436494395e+00,1.0000000000000000e+00
2.6560877829466868e-03,1.0000323789604031e+00,1.0000000000000000e+00
2.8480358684358021e-03,1.0000373613623992e+00,1.0000000000000000e+00
3.0538555088334154e-03,1.0000430836052701e+00,1.0000000000000000e+00
3.2745491628777285e-03,1.0000496507683019e+00,1.0000000000000000e+00
3.5111917342151308e-03,1.0000571816064761e+00,1.0000000000000000e+00
3.7649358067924675e-03,1.0000658099476003e+00,1.0000000000000000e+00
4.0370172585965577e-03,1.0000756861053863e+00,1.0000000000000000e+00
4.3287612810830618e-03,1.0000869782576056e+00,1.0000000000000000e+00
4.6415888336127824e-03,1.0000998737181042e+00,1.0000000000000000e+00
