t,h_GR,h_model
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.0012503125781448e-02,2.5006225501691187e-03,2.5006225501691187e-03
1.0002500625156290e-01,5.0012294636380700e-03,5.0012294636380700e-03
1.5003750937734434e-01,7.5018051038044653e-03,7.5018051038044653e-03
2.0005001250312579e-01,1.0002333834261471e-02,1.0002333834261471e-02
2.5006251562890724e-01,1.2502800018895588e-02,1.2502800018895588e-02
3.0007501875468867e-01,1.5003188021984417e-02,1.5003188021984417e-02
3.5008752188047015e-01,1.7503482208294448e-02,1.7503482208294448e-02
4.0010002500625158e-01,2.0003666943178809e-02,2.0003666943178809e-02
4.5011252813203301e-01,2.2503726592675050e-02,2.2503726592675050e-02
5.0012503125781449e-01,2.5003645523602888e-02,2.5003645523602888e-02
5.5013753438359592e-01,2.7503408103661971e-02,2.7503408103661971e-02
6.0015003750937734e-01,3.0002998701529636e-02,3.0002998701529636e-02
6.5016254063515877e-01,3.2502401686958636e-02,3.2502401686958636e-02
7.0017504376094031e-01,3.5001601430874899e-02,3.5001601430874899e-02
7.5018754688672173e-01,3.7500582305475226e-02,3.7500582305475226e-02
8.0020005001250316e-01,3.9999328684325063e-02,3.9999328684325063e-02
8.5021255313828459e-01,4.2497824942456165e-02,4.2497824942456165e-02
9.0022505626406601e-01,4.4996055456464339e-02,4.4996055456464339e-02
9.5023755938984755e-01,4.7494004604607107e-02,4.7494004604607107e-02
1.0002500625156290e+00,4.9991656766901406e-02,4.9991656766901406e-02
1.0502625656414104e+00,5.2488996325221277e-02,5.2488996325221277e-02
1.1002750687671918e+00,5.4986007663395509e-02,5.4986007663395509e-02
1.1502875718929733e+00,5.7482675167305285e-02,5.7482675167305285e-02
1.2003000750187547e+00,5.9978983224981818e-02,5.9978983224981818e-02
1.2503125781445361e+00,6.2474916226704001e-02,6.2474916226704001e-02
1.3003250812703175e+00,6.4970458565095993e-02,6.4970458565095993e-02
1.3503375843960992e+00,6.7465594635224821e-02,6.7465594635224821e-02
1.4003500875218806e+00,6.9960308834697935e-02,6.9960308834697935e-02
1.4503625906476620e+00,7.2454585563760818e-02,7.2454585563760818e-02
1.5003750937734435e+00,7.4948409225394502e-02,7.4948409225394502e-02
1.5503875968992249e+00,7.7441764225413101e-02,7.7441764225413101e-02
1.6004001000250063e+00,7.9934634972561328e-02,7.9934634972561328e-02
1.6504126031507877e+00,8.2427005878612014e-02,8.2427005878612014e-02
1.7004251062765692e+00,8.4918861358463521e-02,8.4918861358463521e-02
1.7504376094023506e+00,8.7410185830237255e-02,8.7410185830237255e-02
1.8004501125281320e+00,8.9900963715375079e-02,8.9900963715375079e-02
1.8504626156539135e+00,9.2391179438736717e-02,9.2391179438736717e-02
1.9004751187796951e+00,9.4880817428697195e-02,9.4880817428697195e-02
1.9504876219054765e+00,9.7369862117244105e-02,9.7369862117244105e-02
2.0005001250312580e+00,9.9858297940075100e-02,9.9858297940075100e-02
2.0505126281570392e+00,1.0234610933669509e-01,1.0234610933669509e-01
2.1005251312828208e+00,1.0483328075051369e-01,1.0483328075051369e-01
2.1505376344086025e+00,1.0731979662894228e-01,1.0731979662894228e-01
2.2005501375343837e+00,1.0980564142349146e-01,1.0980564142349146e-01
2.2505626406601653e+00,1.1229079958986821e-01,1.1229079958986821e-01
2.3005751437859465e+00,1.1477525558807301e-01,1.1477525558807301e-01
2.3505876469117282e+00,1.1725899388249716e-01,1.1725899388249716e-01
2.4006001500375094e+00,1.1974199894201983e-01,1.1974199894201983e-01
2.4506126531632910e+00,1.2222425524010516e-01,1.2222425524010516e-01
2.5006251562890722e+00,1.2470574725489943e-01,1.2470574725489943e-01
2.5506376594148539e+00,1.2718645946932805e-01,1.2718645946932805e-01
2.6006501625406351e+00,1.2966637637119263e-01,1.2966637637119263e-01
2.6506626656664167e+00,1.3214548245326799e-01,1.3214548245326799e-01
